,paragraph_number,paragraph
940,941,"This type of regularization function is often called Tikhonov regularization. risk minimization, where the norm of w is a measure of its “complexity.” Recall that in the previous chapter we introduced the notion of bounded hypothesis classes. Therefore, we can deﬁne a sequence of hypothesis classes, H1 ⊂H2 ⊂ on i then the RLM rule is similar to the SRM rule for this sequence of nested"
941,942,"A diﬀerent interpretation of regularization is as a stabilizer. In the next section we deﬁne the notion of stability and prove that stable learning rules do not overﬁt. But ﬁrst, let us demonstrate the RLM rule for linear regression with the"
942,943,"Applying the RLM rule with Tikhonov regularization to linear regression with the squared loss, we obtain the following learning rule: obtain the set of linear equations to ridge regression becomes rithm and prevents overﬁtting. In particular, the analysis presented in the next"
943,944,The preceding theorem tells us how many examples are needed to guarantee that the expected value of the risk of the learned predictor will be of agnostic PAC learning we require that the risk of the learned predictor will algorithm with a bounded expected risk can be used to construct an agnostic
944,945,Stable Rules Do Not Overﬁt
945,946,"Intuitively, a learning algorithm is stable if a small change of the input to the algorithm does not change the output of the algorithm much. Of course, there are many ways to deﬁne what we mean by “a small change of the input” and what we mean by “does not change the output much”. In this section we deﬁne a speciﬁc notion of stability and prove that under this deﬁnition, stable rules do"
946,947,"Let A be a learning algorithm, let S = (z1, . . . , zm) be a training set of m examples, and let A(S) denote the output of A. The algorithm A suﬀers from overﬁtting if the diﬀerence between the true risk of its output, LD(A(S)), and the throughout this chapter we focus on the expectation (with respect to the choice of S) of this quantity, namely, ES[LD(A(S)) −LS(A(S))]. ditional example z′, let S(i) be the training set obtained by replacing the i’th nition of stability, “a small change of the input” means that we feed A with S(i) instead of with S. That is, we only replace one training example. We measure the eﬀect of this small change of the input on the output of A, by comparing the loss of the hypothesis A(S) on zi to the loss of the hypothesis A(S(i)) on zi. since in the ﬁrst term the learning algorithm does not observe the example zi while in the second term zi is indeed observed. If the preceding diﬀerence is very large we suspect that the learning algorithm might overﬁt. This is because the"
947,948,"Regularization and Stability learning algorithm drastically changes its prediction on zi if it observes it in the training set. This is formalized in the following theorem. quence of examples and let z′ be another i.i.d. example. Let U(m) be the uniform distribution over [m]. Then, for any learning algorithm,"
948,949,S∼Dm[LD(A(S)) −LS(A(S))] =
949,950,"Since S and z′ are both drawn i.i.d. from D, we have that for every i,"
950,951,"S,z′[ℓ(A(S), z′)] = E"
951,952,"S,z′[ℓ(A(S(i)), zi)]."
952,953,"On the other hand, we can write"
953,954,"Combining the two equations we conclude our proof. algorithm – changing a single example in the training set does not lead to a signiﬁcant change. Formally, not overﬁt is not necessarily a good learning algorithm – take, for example, an algorithm A that always outputs the same hypothesis. A useful algorithm should ﬁnd a hypothesis that on one hand ﬁts the training set (i.e., has a low empirical algorithm should both ﬁt the training set and at the same time be stable. As we set and being stable."
954,955,Tikhonov Regularization as a Stabilizer
955,956,In the previous section we saw that stable rules do not overﬁt. In this section we a stable algorithm. We will assume that the loss function is convex and that it is either Lipschitz or smooth.
956,957,"The main property of the Tikhonov regularization that we rely on is that it makes the objective of RLM strongly convex, as deﬁned in the following. convexity is given in the following ﬁgure. vex. In addition, it underscores an important property of strong convexity."
957,958,"The ﬁrst two points follow directly from the deﬁnition. To prove the last point, we divide the deﬁnition of strong convexity by α and rearrange terms to f(u + α(w −u)) −f(u)"
958,959,"We now turn to prove that RLM is stable. Let S = (z1, . . . , zm) be a training"
959,960,"Let A be the RLM rule, namely,"
960,961,Regularization and Stability
961,962,"On the other hand, for any v and u, and for all i, we have + ℓ(v, zi) −ℓ(u, zi) + ℓ(u, z′) −ℓ(v, z′) fS(A(S(i)))−fS(A(S)) ≤ℓ(A(S(i)), zi) −ℓ(A(S), zi) +ℓ(A(S), z′) −ℓ(A(S(i)), z′) + ℓ(A(S), z′) −ℓ(A(S(i)), z′) schitz or smooth loss functions. For both families of loss functions we show that"
962,963,RLM is stable and therefore it does not overﬁt.
963,964,"If the loss function, ℓ(·, zi), is ρ-Lipschitz, then by the deﬁnition of Lipschitzness, ℓ(A(S(i)), zi) −ℓ(A(S), zi) ≤ρ ∥A(S(i)) −A(S)∥. ℓ(A(S), z′) −ℓ(A(S(i)), z′) ≤ρ ∥A(S(i)) −A(S)∥."
964,965,"Since this holds for any S, z′, i we immediately obtain:"
965,966,Assume that the loss function is convex and ρ-Lipschitz.
966,967,"Smooth and Nonnegative Loss smoothness assumption we have that ℓ(A(S(i)), zi)−ℓ(A(S), zi) ≤⟨∇ℓ(A(S), zi), A(S(i))−A(S)⟩+β ℓ(A(S(i)), zi) −ℓ(A(S), zi) ≤∥∇ℓ(A(S), zi)∥∥A(S(i)) −A(S)∥+ β"
967,968,"2βℓ(A(S), zi) ∥A(S(i)) −A(S)∥+ β"
968,969,"By a symmetric argument it holds that, ℓ(A(S), z′) −ℓ(A(S(i)), z′)"
969,970,"2βℓ(A(S(i)), z′) ∥A(S(i)) −A(S)∥+ β"
970,971,"Regularization and Stability ℓ(A(S(i)), zi) −ℓ(A(S), zi)"
971,972,"2βℓ(A(S), zi) ∥A(S(i)) −A(S)∥+ β ℓ(A(S), zi) + ℓ(A(S(i)), z′) tion with respect to S, z′, i and noting that E[ℓ(A(S), zi)] = E[ℓ(A(S(i)), z′)] ="
972,973,"E[LS(A(S))], we conclude that:"
973,974,"Assume that the loss function is β-smooth and nonnegative. ℓ(A(S(i)), zi) −ℓ(A(S), zi) ℓ(A(S(i)), zi) −ℓ(A(S), zi)"
974,975,We can rewrite the expected risk of a learning algorithm as
975,976,S[LD(A(S)) −LS(A(S))].
976,977,"The ﬁrst term reﬂects how well A(S) ﬁts the training set while the second term reﬂects the diﬀerence between the true and empirical risks of A(S). As we have our goal is to minimize the risk of the algorithm, we need that the sum of both terms will be small."
977,978,"In the previous section we have bounded the stability term. We have shown that the stability term decreases as the regularization parameter, λ, increases. complexity tradeoﬀwe discussed previously in the book."
978,979,We now derive bounds on the empirical risk term for the RLM rule. Recall that the RLM rule is deﬁned as A(S) = argminw arbitrary vector w∗. We have
979,980,Taking expectation of both sides with respect to S and noting that ES[LS(w∗)] =
980,981,"LD(w∗), we obtain that"
981,982,S[LD(A(S)) −LS(A(S))].
982,983,"Assume that the loss function is convex and ρ-Lipschitz. pothesis with low risk, the bound tells us how many examples are needed so that"
983,984,"A(S) will be almost as good as w∗, had we known the norm of w∗. In practice, then for every distribution D,"
984,985,The preceding corollary holds for Lipschitz loss functions. If instead the loss derive an agnostic PAC learning guarantee.
985,986,Regularization and Stability
986,987,"Assume that the loss function is convex, β-smooth, and m , satisﬁes the following for all w∗: we obtain from the preceding that the expected true risk of A(S) is at most twice the expected empirical risk of A(S)."
987,988,"We introduced stability and showed that if an algorithm is stable then it does not problems, the RLM rule with Tikhonov regularization leads to a stable learning bounded problems are learnable using the RLM rule. The RLM paradigm is the basis for many popular learning algorithms, including ridge regression (which we discussed in this chapter) and support vector machines (which will be discussed"
988,989,"In the next chapter we will present Stochastic Gradient Descent, which gives us"
989,990,Bibliographic Remarks
990,991,"In the context of modern learning theory, the use of stability can be traced back ity of a learning algorithm with regard to small changes in the sample controls cal methods have been developed to introduce stability into learning algorithms, problems uniform convergence does not hold in a strong sense. distribution D it holds that nonnegative and rely on Markov’s inequality."
991,992,Suggest a procedure that agnostic PAC learns the problem with sample using A. On the basis of the previous question argue that the probability
992,993,Regularization and Stability
993,994,"This problem corresponds to an unsupervised learning task, meaning that we do not try to predict the label of x. Instead, what we try to do is to ﬁnd the “center of mass” of the distribution over B. However, there is a twist, modeled by the vectors α. Each example is a pair (x, α), where x is the instance x and α indicates which features of x are “active” and which are “turned oﬀ.” A hypothesis is a vector w representing the center of mass of the distribution, and the loss function is the squared Euclidean distance between x and w, but only with respect to the “active” elements of x."
994,995,• Show that this problem is learnable using the RLM rule with a sample complexity that does not depend on d.
995,996,"• Consider a distribution D over Z as follows: x is ﬁxed to be some x0, and"
996,997,Show that the rate of uniform convergence of this problem grows with
997,998,"Hint: Let m be a training set size. Show that if d ≫2m, then there is a high probability of sampling a set of examples such that there exists sample complexity of uniform convergence must grow with log(d)."
998,999,• Conclude that if we take d to inﬁnity we obtain a problem that is learnable but for which the uniform convergence property does not hold. Compare to the fundamental theorem of statistical learning.
999,1000,We say that a learning rule A is an AERM (Asymptotic Empirical Risk distribution D it holds that
1000,1001,Prove the following:
1001,1002,"Throughout the section we used the ℓ2 norm. In this exercise we generalize some of the results to general norms. Let ∥·∥be some arbitrary norm, and let f norm ∥· ∥. Let A be an RLM rule with respect to R, namely,"
1002,1003,"Assume that for every z, the loss function ℓ(·, z) is ρ-Lipschitz with respect to the same norm, namely, ℓ(w, z) −ℓ(v, z) ≤ρ ∥w −v∥."
1003,1004,-strongly convex with respect to the ℓ1 norm over Rd.
1004,1005,Stochastic Gradient Descent
1005,1006,"Recall that the goal of learning is to minimize the risk function, LD(h) ="
1006,1007,"Ez∼D[ℓ(h, z)]. We cannot directly minimize the risk function since it depends on the unknown distribution D. So far in the book, we have discussed learning methods that depend on the empirical risk. That is, we ﬁrst sample a training set S and deﬁne the empirical risk function LS(h). Then, the learner picks a hypothesis based on the value of LS(h). For example, the ERM rule tells us to pick the hypothesis that minimizes LS(h) over the hypothesis class, H. Or, in the previous chapter, we discussed regularized risk minimization, in which we pick a hypothesis that jointly minimizes LS(h) and a regularization function over h."
1007,1008,"In this chapter we describe and analyze a rather diﬀerent learning approach, focus on the important family of convex learning problems, and following the notation in that chapter, we will refer to hypotheses as vectors w that come from a convex hypothesis class, H. In SGD, we try to minimize the risk function LD(w) directly using a gradient descent procedure. Gradient descent is an iterative optimization procedure in which at each step we improve the solution by taking a step along the negative of the gradient of the function to be minimized at the current point. Of course, in our case, we are minimizing the risk function, and since we do not know D we also do not know the gradient of LD(w). SGD circumvents this problem by allowing the optimization procedure to take a step along a random direction, as long as the expected value of the direction is the negative of the gradient. And, as we shall see, ﬁnding a random direction whose expected value corresponds to the gradient is rather simple even though we do not know the underlying distribution D."
1008,1009,"The advantage of SGD, in the context of convex learning problems, over the regularized risk minimization learning rule is that SGD is an eﬃcient algorithm that can be implemented in a few lines of code, yet still enjoys the same sample complexity as the regularized risk minimization rule. The simplicity of SGD also allows us to use it in situations when it is not possible to apply methods that are based on the empirical risk, but this is beyond the scope of this book."
1009,1010,We start this chapter with the basic gradient descent algorithm and analyze its subgradient and show that gradient descent can be applied for nondiﬀerentiable
1010,1011,"Personal use only. Not for distribution. Do not post. the Stochastic Gradient Descent algorithm, along with several useful variants."
1011,1012,"We show that SGD enjoys an expected convergence rate similar to the rate of gradient descent. Finally, we turn to the applicability of SGD to learning"
1012,1013,"Before we describe the stochastic gradient descent method, we would like to describe the standard gradient descent approach for minimizing a diﬀerentiable convex function f(w). is the vector of partial derivatives of f, namely, ∇f(w) ="
1013,1014,"Gradient descent is an iterative algorithm. We start with an initial value of w negative of the gradient at the current point. That is, the update step is ent points in the direction of the greatest rate of increase of f around w(t), the algorithm makes a small step in the opposite direction, thus decreasing the value of the function. Eventually, after T iterations, the algorithm outputs the averaged vector, ¯w = turns out to be rather useful, especially when we generalize gradient descent to nondiﬀerentiable functions and to the stochastic case. tion. The gradient of f at w yields the ﬁrst order Taylor approximation of f mation lower bounds f, that is, f(u) ≥f(w) + ⟨u −w, ∇f(w)⟩."
1014,1015,"Therefore, for w close to w(t) we have that f(w) ≈f(w(t))+⟨w−w(t), ∇f(w(t))⟩."
1015,1016,"Hence we can minimize the approximation of f(w). However, the approximation might become loose for w, which is far away from w(t). Therefore, we would like to minimize jointly the distance between w and w(t) and the approximation of f around w(t). If the parameter η controls the tradeoﬀbetween the two terms, we obtain the update rule f(w(t)) + ⟨w −w(t), ∇f(w(t))⟩"
1016,1017,Solving the preceding by taking the derivative with respect to w and comparing
1017,1018,Stochastic Gradient Descent
1018,1019,"To analyze the convergence rate of the GD algorithm, we limit ourselves to themselves easily to this setting). Let w⋆be any vector and let B be an upper bound on ∥w⋆∥. It is convenient to think of w⋆as the minimizer of f(w), but the analysis that follows holds for every w⋆."
1019,1020,"We would like to obtain an upper bound on the suboptimality of our solution deﬁnition of ¯w, and using Jensen’s inequality, we have that"
1020,1021,"For every t, because of the convexity of f, we have that f(w(t)) −f(w⋆) ≤⟨w(t) −w⋆, ∇f(w(t))⟩."
1021,1022,"Combining the preceding we obtain ⟨w(t) −w⋆, ∇f(w(t))⟩."
1022,1023,"Let v1, . . . , vT be an arbitrary sequence of vectors. Any algorithm ρ2 T , then for every w⋆with ∥w⋆∥≤B we have"
1023,1024,"Using algebraic manipulations (completing the square), we obtain: where the last equality follows from the deﬁnition of the update rule. Summing the equality over t, we have ∥w⋆∥by B, ∥vt∥by ρ, dividing by T, and plugging in the value of η."
1024,1025,Stochastic Gradient Descent satisfy the lemma’s conditions and achieve the following corollary:
1025,1026,"Let f be a convex, ρ-Lipschitz function, and let w⋆∈argmin{w:∥w∥≤B} f(w)."
1026,1027,"If we run the GD algorithm on f for T steps with η = ρ2 T , then the output"
1027,1028,"GD algorithm for a number of iterations that satisﬁes alize the discussion beyond diﬀerentiable functions. We will show that the GD gradient of f(w) at w(t), instead of the gradient."
1028,1029,"To motivate the deﬁnition of subgradients, recall that for a convex function f, the gradient at w deﬁnes the slope of a tangent that lies below f, that is, f(u) ≥f(w) + ⟨u −w, ∇f(w)⟩."
1029,1030,"The existence of a tangent that lies below f is an important property of convex functions, which is in fact an alternative characterization of convexity. f(u) ≥f(w) + ⟨u −w, v⟩."
1030,1031,"The proof of this lemma can be found in many convex analysis textbooks (e.g., called a subgradient of f at w. The set of subgradients of f at w is called the diﬀerential set and denoted ∂f(w)."
1031,1032,"For scalar functions, a subgradient of a convex function f at w is a slope of a line that touches f at w and is not above f elsewhere. f(w) + ⟨u −w, ∇f(w)⟩ a convex function, the tangent lower bounds f. Right: Illustration of several subgradients of a nondiﬀerentiable convex function."
1032,1033,Calculating Subgradients
1033,1034,"How do we construct subgradients of a given convex function? If a function is diﬀerentiable at a point w, then the diﬀerential set is trivial, as the following"
1034,1035,"If f is diﬀerentiable at w then ∂f(w) contains a single element – the gradient of f at w, ∇f(w). the diﬀerential set for the diﬀerentiable parts of f, and the only point that dients at a given point, as one member of this set would suﬃce. The following"
1035,1036,"Since gj is convex we have that for all u gj(u) ≥gj(w) + ⟨u −w, ∇gj(w)⟩."
1036,1037,"Since g(w) = gj(w) and g(u) ≥gj(u) we obtain that g(u) ≥g(w) + ⟨u −w, ∇gj(w)⟩, which concludes our proof."
1037,1038,Stochastic Gradient Descent
1038,1039,Recall the hinge loss function
1039,1040,To calculate a subgradient of the hinge loss at some w we rely on the preceding claim and obtain that the vector v deﬁned in the following is a subgradient of the hinge loss at w:
1040,1041,Subgradients of Lipschitz Functions |f(u) −f(v)| ≤ρ ∥u −v∥.
1041,1042,"The following lemma gives an equivalent deﬁnition using norms of subgradients. f(w) −f(u) ≤⟨v, w −u⟩. f(w) −f(u) ≤⟨v, w −u⟩≤∥v∥∥w −u∥≤ρ ∥w −u∥."
1042,1043,An analogous argument can show that f(u) −f(w) ≤ρ ∥w −u∥. Hence f is
1043,1044,"On the other hand, from the Lipschitzness of f we have"
1044,1045,Combining the two inequalities we conclude that ∥v∥≤ρ.
1045,1046,"The gradient descent algorithm can be generalized to nondiﬀerentiable functions by using a subgradient of f(w) at w(t), instead of the gradient. The analysis of true for subgradients as well. gradient descent algorithm (right). The function to be minimized is"
1046,1047,Stochastic Gradient Descent (SGD)
1047,1048,"In stochastic gradient descent we do not require the update direction to be based exactly on the gradient. Instead, we allow the direction to be a random vector and only require that its expected value at each iteration will equal the gradient direction. Or, more generally, we require that the expected value of the random vector will be a subgradient of the function at the current vector."
1048,1049,Stochastic Gradient Descent (SGD) for minimizing choose vt at random from a distribution such that E[vt | w(t)] ∈∂f(w(t))
1049,1050,"An illustration of stochastic gradient descent versus gradient descent is given it is easy to ﬁnd a random vector whose expectation is a subgradient of the risk stochastic case, in which only the expectation of vt is in ∂f(w(t)), we cannot"
1050,1051,"Stochastic Gradient Descent subgradient of f at w(t), we can still derive a similar bound on the expected output of stochastic gradient descent. This is formalized in the following theorem."
1051,1052,Assume that SGD is run for T iterations with η = ρ2 T . Assume also that for
1052,1053,E [f( ¯w)] −f(w⋆) ≤B ρ
1053,1054,SGD algorithm for a number of iterations that satisﬁes
1054,1055,"Let us introduce the notation v1:t to denote the sequence v1, . . . , vt. v1:T[f( ¯w) −f(w⋆)] ≤E"
1055,1056,By taking expectation of the bound in the lemma we have
1056,1057,It is left to show that which we will hereby prove.
1057,1058,"Using the linearity of the expectation we have v1:T[⟨w(t) −w⋆, vt⟩]."
1058,1059,"Next, we recall the law of total expectation: For every two random variables α, β, v1:T[⟨w(t) −w⋆, vt⟩] = E v1:t[⟨w(t) −w⋆, vt⟩]"
1059,1060,"Overall, we have shown that v1:T[⟨w(t) −w⋆, vt⟩] ≥ v1:T[f(w(t)) −f(w⋆)] ."
1060,1061,"Summing over t, dividing by T, and using the linearity of expectation, we get"
1061,1062,In this section we describe several variants of Stochastic Gradient Descent.
1062,1063,Adding a Projection Step
1063,1064,"In the previous analyses of the GD and SGD algorithms, we required that the norm of w⋆will be at most B, which is equivalent to requiring that w⋆is in the set H = {w : ∥w∥≤B}. In terms of learning, this means restricting ourselves to the gradient (or its expected direction) might result in stepping out of this bound, and there is even no guarantee that ¯w satisﬁes it. We show in the following how to overcome this problem while maintaining the same convergence rate. update rule, where we ﬁrst subtract a subgradient from the current value of w and then project the resulting vector onto H. Formally,"
1064,1065,The projection step replaces the current value of w by the vector in H closest
1065,1066,"Clearly, the projection step guarantees that w(t) ∈H for all t. Since H is of SGD with projections remains the same. This is based on the following lemma."
1066,1067,"Let H be a closed convex set and let v be the projection of w onto H, namely,"
1067,1068,Stochastic Gradient Descent
1068,1069,"Therefore, from the optimality of v we obtain"
1069,1070,"Rearranging, we obtain"
1070,1071,"Equipped with the preceding lemma, we can easily adapt the analysis of SGD to the case in which we add projection steps on a closed and convex set. Simply note that for every t, of the analysis follows directly."
1071,1072,"Another variant of SGD is decreasing the step size as a function of t. That is, rather than updating with a constant η, we use ηt. For instance, we can set we are closer to the minimum of the function, we take our steps more carefully, so as not to “overshoot” the minimum."
1072,1073,Other Averaging Techniques
1073,1074,"We have set the output vector to be ¯w = a weighted average of the last few iterates. These more sophisticated averaging schemes can improve the convergence speed in some situations, such as in the case of strongly convex functions deﬁned in the following."
1074,1075,"In this section we show a variant of SGD that enjoys a faster convergence rate for of strong convexity in the previous chapter). We rely on the following claim, ⟨w −u, v⟩≥f(w) −f(u) + λ"
1075,1076,Choose a random vector vt s.t. E[vt|w(t)] ∈∂f(w(t))
1076,1077,"Let ∇(t) = E[vt|w(t)]. Since f is strongly convex and ∇(t) is in the subgradient set of f at w(t) we have that ⟨w(t) −w⋆, ∇(t)⟩≥f(w(t)) −f(w⋆) + λ"
1077,1078,"Stochastic Gradient Descent = 2ηt⟨w(t) −w⋆, vt⟩−η2 summing over t we obtain (E[f(w(t))] −f(w⋆)) ≤ρ2"
1078,1079,The theorem follows from the preceding by dividing by T and using Jensen’s in which the log(T) term is eliminated for a variant of the algorithm in which
1079,1080,We have so far introduced and analyzed the SGD algorithm for general convex functions. Now we shall consider its applicability to learning tasks.
1080,1081,SGD for Risk Minimization
1081,1082,Recall that in learning we face the problem of minimizing the risk function
1082,1083,"We have seen the method of empirical risk minimization, where we minimize the empirical risk, LS(w), as an estimate to minimizing LD(w). SGD allows us to take a diﬀerent approach and minimize LD(w) directly. Since we do not know"
1083,1084,"D, we cannot simply calculate ∇LD(w(t)) and minimize it with the GD method."
1084,1085,"With SGD, however, all we need is to ﬁnd an unbiased estimate of the gradient of"
1085,1086,"LD(w), that is, a random vector whose conditional expected value is ∇LD(w(t))."
1086,1087,We shall now see how such an estimate can be easily constructed.
1087,1088,"For simplicity, let us ﬁrst consider the case of diﬀerentiable loss functions."
1088,1089,"Hence the risk function LD is also diﬀerentiable. The construction of the random vector vt will be as follows: First, sample z ∼D. Then, deﬁne vt to be the gradient of the function ℓ(w, z) with respect to w, at the point w(t). Then, by the linearity of the gradient we have z∼D[∇ℓ(w(t), z)] = ∇E z∼D[ℓ(w(t), z)] = ∇LD(w(t))."
1089,1090,"The gradient of the loss function ℓ(w, z) at w(t) is therefore an unbiased estimate of the gradient of the risk function LD(w(t)) and is easily constructed by sampling a single fresh example z ∼D at each iteration t."
1090,1091,"The same argument holds for nondiﬀerentiable loss functions. We simply let vt be a subgradient of ℓ(w, z) at w(t). Then, for every u we have ℓ(u, z) −ℓ(w(t), z) ≥⟨u −w(t), vt⟩."
1091,1092,Taking expectation on both sides with respect to z ∼D and conditioned on the value of w(t) we obtain
1092,1093,"LD(u) −LD(w(t)) = E[ℓ(u, z) −ℓ(w(t), z)|w(t)] ≥E[⟨u −w(t), vt⟩|w(t)] = ⟨u −w(t), E[vt|w(t)]⟩."
1093,1094,It follows that E[vt|w(t)] is a subgradient of LD(w) at w(t).
1094,1095,"To summarize, the stochastic gradient descent framework for minimizing the"
1095,1096,Stochastic Gradient Descent (SGD) for minimizing
1096,1097,Stochastic Gradient Descent
1097,1098,"LD(w) with a number of iterations (i.e., number of examples) ρ2 T , then the output of SGD satisﬁes"
1098,1099,"It is interesting to note that the required sample complexity is of the same order of magnitude as the sample complexity guarantee we derived for regularized loss minimization. In fact, the sample complexity of SGD is even better than what"
1099,1100,In the previous chapter we saw that the regularized loss minimization rule also the SGD algorithm can be also used for such problems.
1100,1101,"Assume that for all z, the loss function ℓ(·, z) is convex, β- smooth, and nonnegative. Then, if we run the SGD algorithm for minimizing"
1101,1102,"LD(w) we have that for every w⋆, samples of the SGD algorithm, let ft(·) = ℓ(·, zt), and note that vt = ∇ft(w(t))."
1102,1103,"For all t, ft is a convex function and therefore ft(w(t))−ft(w⋆) ≤⟨vt, w(t)−w⋆⟩. (ft(w(t)) −ft(w⋆)) ≤"
1103,1104,"Dividing by T and rearranging, we obtain"
1104,1105,"Next, we take expectation of the two sides of the preceding equation with respect to z1, . . . , zT . Clearly, E[ft(w⋆)] = LD(w⋆). In addition, using the same argument"
1105,1106,Combining all we conclude our proof.
1106,1107,As a direct corollary we obtain:
1107,1108,"SGD for Regularized Loss Minimization as regularized loss minimization. However, on some distributions, regularized loss minimization may yield a better solution. Therefore, in some cases we may want to solve the optimization problem associated with regularized loss minimization,"
1108,1109,"Since we are dealing with convex learning problems in which the loss function is convex, the preceding problem is also a convex optimization problem that can be solved using SGD as well, as we shall see in this section."
1109,1110,"To apply this algorithm, we only need to ﬁnd a way to construct an unbiased estimate of a subgradient of f at w(t). This is easily done by noting that if"
1110,1111,"To analyze the resulting algorithm, we ﬁrst rewrite the update rule (assuming"
1111,1112,Stochastic Gradient Descent that H = Rd and therefore the projection step does not matter) as follows
1112,1113,"If we assume that the loss function is ρ-Lipschitz, it follows that for all t we have ∥vt∥≤ρ and therefore ∥λw(t)∥≤ρ, which yields"
1113,1114,"E[f( ¯w)] −f(w⋆) ≤4ρ2 rithms, along with several of their variants. We have analyzed their convergence rate and calculated the number of iterations that would guarantee an expected shown that by using SGD we can directly minimize the risk function. We do so by sampling a point i.i.d from D and using a subgradient of the loss of the current hypothesis w(t) at this point as an unbiased estimate of the gradient (or a subgradient) of the risk function. This implies that a bound on the number of iterations also yields a sample complexity bound. Finally, we have also shown how to apply the SGD method to the problem of regularized risk minimization."
1114,1115,In future chapters we show how this yields extremely simple solvers to some optimization problems associated with regularized risk minimization.
1115,1116,"Bibliographic Remarks in the context of stochastic optimization. See, for example, (Nemirovski & Yudin"
1116,1117,"The bound we have derived for strongly convex function is due to Hazan, among all vectors that satisfy the preceding requirement. Let R = maxi ∥xi∥."
1117,1118,"• Show how to calculate a subgradient of f. pare the algorithm and the analysis to the Batch Perceptron algorithm variable step size, ηt ="
1118,1119,Support Vector Machines
1119,1120,In this chapter and the next we discuss a very useful machine learning tool: the support vector machine paradigm (SVM) for learning linear predictors in high dimensional feature spaces. The high dimensionality of the feature space raises both sample complexity and computational complexity challenges.
1120,1121,"The SVM algorithmic paradigm tackles the sample complexity challenge by searching for “large margin” separators. Roughly speaking, a halfspace separates a training set with a large margin if all the examples are not only on the correct side of the separating hyperplane but also far away from it. Restricting the algorithm to output a large margin separator can yield a small sample complexity even if the dimensionality of the feature space is high (and even inﬁnite). We introduce the concept of margin and relate it to the regularized loss minimization paradigm as well as to the convergence rate of the Perceptron algorithm."
1121,1122,"In the next chapter we will tackle the computational complexity challenge using the idea of kernels. a halfspace, (w, b), such that yi = sign(⟨w, xi⟩+ b) for all i. Alternatively, this condition can be rewritten as error is zero, which is the minimum possible error). For any separable training sample, there are many ERM halfspaces. Which one of them should the learner"
1122,1123,"Consider, for example, the training set described in the picture that follows."
1123,1124,"Personal use only. Not for distribution. Do not post. amples, our intuition would probably lead us to prefer the black hyperplane over the green one. One way to formalize this intuition is using the concept of margin."
1124,1125,"The margin of a hyperplane with respect to a training set is deﬁned to be the minimal distance between a point in the training set and the hyperplane. If a hyperplane has a large margin, then it will still separate the training set even if we slightly perturb each instance."
1125,1126,"We will see later on that the true error of a halfspace can be bounded in terms of the margin it has over the training sample (the larger the margin, the smaller the error), regardless of the Euclidean dimension in which this halfspace resides. formally, we ﬁrst express the distance between a point x to a hyperplane using the parameters deﬁning the halfspace."
1126,1127,The distance between a point x and the hyperplane deﬁned by
1127,1128,The distance between a point x and the hyperplane is deﬁned as
1128,1129,"Taking v = x −(⟨w, x⟩+ b)w we have that ∥x −v∥= |⟨w, x⟩+ b| ∥w∥= |⟨w, x⟩+ b|."
1129,1130,"Hence, the distance is at most |⟨w, x⟩+ b|. Next, take any other point u on the where the last equality is because ⟨w, v⟩= ⟨w, u⟩= −b. Hence, the distance"
1130,1131,"Support Vector Machines between x and u is at least the distance between x and v, which concludes our"
1131,1132,"On the basis of the preceding claim, the closest point in the training set to the input: (x1, y1), . . . , (xm, ym) for w of minimal norm among all the vectors that separate the data and for but now the units in which we measure the margin scale with the norm of w."
1132,1133,"Therefore, ﬁnding the largest margin halfspace boils down to ﬁnding w whose norm is minimal. Formally: yi(⟨w⋆, xi⟩+ b⋆) ≥γ⋆"
1133,1134,"Hence, the pair ( w⋆ γ⋆) satisﬁes the conditions of the quadratic optimization convex quadratic function and the constraints are linear inequalities. ∥w0∥yi(⟨w0, xi⟩+ b0) ≥"
1134,1135,"It is often more convenient to consider homogenous halfspaces, namely, halfspaces that pass through the origin and are thus deﬁned by sign(⟨w, x⟩), where the bias halfspaces to the problem of learning homogenous halfspaces by adding one more of the weight vector) as well. However, regularizing b usually does not make a signiﬁcant diﬀerence to the sample complexity. sample complexity of learning halfspaces grows with the dimensionality of the problem. Furthermore, the fundamental theorem of learning tells us that if the"
1135,1136,"To overcome this problem, we will make an additional assumption on the underlying data distribution. In particular, we will deﬁne a “separability with margin γ” assumption and will show that if the data is separable with margin follows that even if the dimensionality is very large (or even inﬁnite), as long as the data adheres to the separability with margin assumption we can still have a small sample complexity. There is no contradiction to the lower bound given in the fundamental theorem of learning because we are now making an additional assumption on the underlying data distribution."
1136,1137,"Before we formally deﬁne the separability with margin assumption, there is a scaling issue we need to resolve. Suppose that a training set S = (x1, y1), . . . , (xm, ym)"
